Pressure;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11;T12;T13;T14;L;V;D;B;F;Ethanol concentration
1.01;350.89;350.95;351.01;351.08;351.16;351.26;351.38;351.54;351.78;352.18;353;355.19;363.77;371.47;780;1040;260;340;600;0.82076
1.01;350.86;350.91;350.96;351.02;351.09;351.17;351.28;351.43;351.66;352.03;352.76;354.66;362.2;370.98;780;1040;260;340;600;0.83253
1.01;350.85;350.89;350.93;350.99;351.05;351.13;351.23;351.37;351.58;351.91;352.55;354.13;360.16;370.1;780;1040;260;340;600;0.83953
1.01;350.84;350.88;350.92;350.97;351.03;351.11;351.21;351.34;351.53;351.83;352.4;353.75;358.45;368.99;780;1040;260;340;600;0.84366
1.01;350.83;350.87;350.91;350.96;351.02;351.09;351.18;351.31;351.49;351.78;352.3;353.5;357.23;367.81;780;1040;260;340;600;0.84622
1.01;350.83;350.86;350.91;350.95;351.01;351.08;351.17;351.29;351.47;351.74;352.23;353.33;356.41;366.69;780;1040;260;340;600;0.84788
1.01;350.83;350.86;350.9;350.95;351.01;351.07;351.16;351.28;351.45;351.71;352.18;353.23;355.87;365.74;780;1040;260;340;600;0.84899
1.01;350.83;350.86;350.9;350.95;351;351.07;351.16;351.27;351.44;351.69;352.15;353.16;355.51;364.99;780;1040;260;340;600;0.84974
1.01;350.82;350.86;350.9;350.94;351;351.07;351.15;351.27;351.43;351.68;352.13;353.11;355.27;364.41;780;1040;260;340;600;0.85026
1.01;350.82;350.86;350.9;350.94;351;351.06;351.15;351.26;351.42;351.67;352.12;353.08;355.11;363.99;780;1040;260;340;600;0.85062
1.01;350.82;350.86;350.9;350.94;351;351.06;351.15;351.26;351.42;351.67;352.11;353.06;355;363.68;780;1040;260;340;600;0.85087
1.01;350.82;350.86;350.9;350.94;350.99;351.06;351.14;351.26;351.42;351.66;352.1;353.04;354.93;363.46;780;1040;260;340;600;0.85104
1.01;350.82;350.86;350.89;350.94;350.99;351.06;351.14;351.26;351.41;351.66;352.1;353.03;354.87;363.3;780;1040;260;340;600;0.85116
1.01;350.82;350.86;350.89;350.94;350.99;351.06;351.14;351.25;351.41;351.66;352.09;353.02;354.84;363.19;780;1040;260;340;600;0.85124
1.01;350.82;350.86;350.89;350.94;350.99;351.06;351.14;351.25;351.41;351.66;352.09;353.02;354.81;363.11;780;1040;260;340;600;0.8513
1.01;350.82;350.86;350.89;350.94;350.99;351.06;351.14;351.25;351.41;351.66;352.09;353.01;354.79;363.05;780;1040;260;340;600;0.85134
1.01;350.82;350.86;350.89;350.94;350.99;351.06;351.14;351.25;351.41;351.66;352.09;353.01;354.78;363.01;780;1040;260;340;600;0.85137
1.01;350.82;350.86;350.89;350.94;350.99;351.06;351.14;351.25;351.41;351.66;352.09;353.01;354.77;362.99;780;1040;260;340;600;0.85139
1.01;350.82;350.86;350.89;350.94;350.99;351.06;351.14;351.25;351.41;351.66;352.09;353.01;354.77;362.97;780;1040;260;340;600;0.8514
1.01;350.82;350.86;350.89;350.94;350.99;351.06;351.14;351.25;351.41;351.66;352.09;353.01;354.76;362.96;780;1040;260;340;600;0.85141
1.01;350.82;350.86;350.89;350.94;350.99;351.06;351.14;351.25;351.41;351.66;352.09;353.01;354.76;362.95;780;1040;260;340;600;0.85142
1.01;350.82;350.86;350.89;350.94;350.99;351.06;351.14;351.25;351.41;351.66;352.09;353.01;354.76;362.94;780;1040;260;340;600;0.85143
1.01;350.82;350.86;350.89;350.94;350.99;351.06;351.14;351.25;351.41;351.66;352.09;353.01;354.76;362.94;780;1040;260;340;600;0.85143
1.01;350.82;350.86;350.89;350.94;350.99;351.06;351.14;351.25;351.41;351.66;352.09;353.01;354.76;362.93;780;1040;260;340;600;0.85143
1.01;350.82;350.86;350.89;350.94;350.99;351.06;351.14;351.25;351.41;351.66;352.09;353.01;354.76;362.93;780;1040;260;340;600;0.85143
1.01;350.82;350.86;350.89;350.94;350.99;351.06;351.14;351.25;351.41;351.66;352.09;353.01;354.75;362.93;780;1040;260;340;600;0.85143
1.01;350.82;350.86;350.89;350.94;350.99;351.06;351.14;351.25;351.41;351.66;352.08;353.01;354.75;362.93;780;1040;260;340;600;0.85143
1.01;350.82;350.86;350.89;350.94;350.99;351.06;351.14;351.25;351.41;351.66;352.08;353.01;354.75;362.93;780;1040;260;340;600;0.85144
1.01;350.82;350.86;350.89;350.94;350.99;351.06;351.14;351.25;351.41;351.66;352.08;353.01;354.75;362.93;780;1040;260;340;600;0.85144
1.01;350.82;350.86;350.89;350.94;350.99;351.06;351.14;351.25;351.41;351.66;352.08;353.01;354.75;362.93;780;1040;260;340;600;0.85144
1.01;350.82;350.86;350.89;350.94;350.99;351.06;351.14;351.25;351.41;351.66;352.08;353.01;354.75;362.93;780;1040;260;340;600;0.85144
1.01;350.82;350.86;350.89;350.94;350.99;351.06;351.14;351.25;351.41;351.66;352.08;353.01;354.75;362.93;780;1040;260;340;600;0.85144
1.01;350.82;350.86;350.89;350.94;350.99;351.06;351.14;351.25;351.41;351.66;352.08;353.01;354.75;362.92;780;1040;260;340;600;0.85144
1.01;350.82;350.86;350.89;350.94;350.99;351.06;351.14;351.25;351.41;351.66;352.08;353.01;354.75;362.92;780;1040;260;340;600;0.85144
1.01;350.82;350.86;350.89;350.94;350.99;351.06;351.14;351.25;351.41;351.66;352.08;353.01;354.75;362.92;780;1040;260;340;600;0.85144
1.01;350.82;350.86;350.89;350.94;350.99;351.06;351.14;351.25;351.41;351.66;352.08;353.01;354.75;362.92;780;1040;260;340;600;0.85144
1.01;350.82;350.86;350.89;350.94;350.99;351.06;351.14;351.25;351.41;351.66;352.08;353.01;354.75;362.92;780;1040;260;340;600;0.85144
1.01;350.82;350.86;350.89;350.94;350.99;351.06;351.14;351.25;351.41;351.66;352.08;353.01;354.75;362.92;780;1040;260;340;600;0.85144
1.01;350.82;350.86;350.89;350.94;350.99;351.06;351.14;351.25;351.41;351.66;352.08;353.01;354.75;362.92;780;1040;260;340;600;0.85144
1.01;350.82;350.86;350.89;350.94;350.99;351.06;351.14;351.25;351.41;351.66;352.08;353.01;354.75;362.92;780;1040;260;340;600;0.85144
1.01;350.82;350.86;350.89;350.94;350.99;351.06;351.14;351.25;351.41;351.66;352.08;353.01;354.75;362.92;780;1040;260;340;600;0.85144
1.01;350.82;350.86;350.89;350.94;350.99;351.06;351.14;351.25;351.41;351.66;352.08;353.01;354.75;362.92;780;1040;260;340;600;0.85144
1.01;350.82;350.86;350.89;350.94;350.99;351.06;351.14;351.25;351.41;351.66;352.08;353.01;354.75;362.92;780;1040;260;340;600;0.85144
1.01;350.82;350.86;350.89;350.94;350.99;351.06;351.14;351.25;351.41;351.66;352.08;353.01;354.75;362.92;780;1040;260;340;600;0.85144
1.01;350.82;350.86;350.89;350.94;350.99;351.06;351.14;351.25;351.41;351.66;352.08;353.01;354.75;362.92;780;1040;260;340;600;0.85144
1.01;350.82;350.86;350.89;350.94;350.99;351.06;351.14;351.25;351.41;351.66;352.08;353.01;354.75;362.92;780;1040;260;340;600;0.85144
1.01;350.82;350.86;350.89;350.94;350.99;351.06;351.14;351.25;351.41;351.66;352.08;353.01;354.75;362.92;780;1040;260;340;600;0.85144
1.01;350.82;350.86;350.89;350.94;350.99;351.06;351.14;351.25;351.41;351.66;352.08;353.01;354.75;362.92;780;1040;260;340;600;0.85144
1.01;350.82;350.86;350.89;350.94;350.99;351.06;351.14;351.25;351.41;351.66;352.08;353.01;354.75;362.92;780;1040;260;340;600;0.85144
1.01;350.82;350.86;350.89;350.94;350.99;351.06;351.14;351.25;351.41;351.66;352.08;353.01;354.75;362.92;780;1040;260;340;600;0.85144
1.01;350.82;350.86;350.89;350.94;350.99;351.06;351.14;351.25;351.41;351.66;352.08;353.01;354.75;362.92;780;1040;260;340;600;0.85144
1.01;350.82;350.86;350.89;350.94;350.99;351.06;351.14;351.25;351.41;351.66;352.08;353.01;354.75;362.92;780;1040;260;340;600;0.85144
